Week,Inferno,Mirage,Cache,Dust II
Week 1,-1,-1,0,0
Week 2,-4,-3,0,0
Week 3,-3,-3,0,0
Week 4,-1,-3,0,0
Week 5,-1,-2,2,0
Week 6,-2,-2,1,0
Week 7,-1,-1,1,0
Week 8,-2,0,1,0
Week 9,0,-2,0,0
Week 10,2,-3,0,0
Week 11,7,-2,0,0
Week 12,7,-3,0,0
Week 13,7,0,0,0
Week 14,6,1,0,0
Week 15,6,2,0,0
Week 16,8,3,0,0
Week 17,9,2,0,1
Week 18,9,2,1,1
