Hour,Matches
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,4
23,19
0,27
1,26
2,9
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
