Map,Date,Duration,Friends,Score,Result,Player,Ping,Kills,Assists,Deaths,MVP,HSP,Player score
Cache,2020-09-22 02:14:20 GMT,49:40,3,16 : 14,won,31,11,4,20,2,27%,28
Dust II,2020-09-20 03:53:32 GMT,42:29,3,16 : 11,won,30,25,4,21,2,40%,62
Inferno,2020-09-20 02:55:32 GMT,48:02,3,16 : 11,won,31,22,4,14,4,22%,53
Inferno,2020-09-19 05:28:36 GMT,35:01,2,16 : 6,won,31,16,3,14,2,37%,42
Mirage,2020-09-19 05:00:52 GMT,23:14,2,1 : 16,lost,31,8,2,17,0,37%,18
Inferno,2020-09-19 02:19:56 GMT,46:38,4,13 : 16,lost,20,20,5,23,6,35%,48
Inferno,2020-09-13 04:22:12 GMT,48:18,3,16 : 12,won,32,17,8,23,3,29%,43
Mirage,2020-09-07 04:04:59 GMT,38:22,4,16 : 11,won,39,21,5,19,3,33%,56
Inferno,2020-09-07 03:15:47 GMT,33:36,4,16 : 4,won,38,17,8,13,2,17%,45
Mirage,2020-09-06 02:54:35 GMT,31:09,2,4 : 16,lost,33,8,4,18,0,0%,28
Inferno,2020-09-06 02:07:31 GMT,41:49,2,16 : 11,won,44,23,3,21,2,13%,49
Inferno,2020-09-05 03:37:23 GMT,37:14,2,6 : 16,lost,31,14,9,20,1,42%,41
Mirage,2020-09-05 02:49:47 GMT,41:06,3,16 : 9,won,28,16,4,20,3,37%,41
Mirage,2020-09-04 02:58:35 GMT,46:22,3,15 : 15,won,61,21,10,24,3,9%,59
Inferno,2020-09-04 02:12:51 GMT,39:36,3,12 : 16,lost,31,25,2,16,7,20%,63
Inferno,2020-09-03 02:21:07 GMT,41:41,1,16 : 10,won,42,16,3,19,1,37%,37
Mirage,2020-08-30 04:06:20 GMT,31:31,3,16 : 8,won,31,24,10,13,1,16%,65
Inferno,2020-08-30 03:11:32 GMT,48:13,3,14 : 16,lost,36,20,9,22,1,25%,51
Mirage,2020-08-23 03:52:13 GMT,43:04,2,15 : 15,won,55,13,5,21,3,15%,40
Mirage,2020-08-23 03:13:09 GMT,33:05,4,16 : 8,won,32,24,7,16,3,37%,60
Mirage,2020-08-22 03:18:05 GMT,45:22,3,16 : 13,won,31,24,3,22,4,37%,55
Inferno,2020-08-22 02:37:01 GMT,29:05,2,16 : 2,won,30,14,1,17,0,28%,29
Inferno,2020-08-19 03:18:12 GMT,50:19,3,13 : 16,lost,31,20,4,26,2,30%,45
Inferno,2020-08-15 04:59:08 GMT,36:06,2,5 : 16,lost,28,23,4,14,6,39%,58
Inferno,2020-08-15 04:04:36 GMT,40:51,3,16 : 11,won,31,27,1,16,7,25%,55
Mirage,2020-08-15 03:06:36 GMT,36:38,2,10 : 16,lost,37,12,1,21,2,38%,32
Inferno,2020-08-09 04:41:21 GMT,40:25,3,16 : 10,won,32,16,4,17,3,25%,38
Mirage,2020-08-09 03:52:01 GMT,42:31,2,12 : 16,lost,38,17,6,24,2,23%,44
Inferno,2020-08-09 02:48:25 GMT,39:26,2,16 : 7,won,33,14,3,14,1,21%,34
Inferno,2020-08-08 03:50:41 GMT,46:19,2,16 : 10,won,36,32,4,21,3,37%,73
Inferno,2020-08-08 02:48:09 GMT,47:23,3,16 : 11,won,33,11,3,25,0,27%,25
Mirage,2020-08-08 01:57:37 GMT,30:31,2,16 : 6,won,33,14,6,21,1,50%,34
Mirage,2020-08-08 00:07:45 GMT,42:33,2,16 : 12,won,32,24,4,19,3,37%,52
Inferno,2020-08-03 03:20:30 GMT,47:43,2,15 : 15,won,30,28,9,24,4,32%,72
Mirage,2020-08-03 02:40:30 GMT,35:18,2,16 : 6,won,32,12,3,18,2,41%,30
Mirage,2020-08-01 04:39:50 GMT,34:52,3,9 : 16,lost,31,13,6,23,2,38%,34
Inferno,2020-08-01 04:16:30 GMT,16:12,3,7 : 3,won,31,6,1,6,1,33%,13
Inferno,2020-08-01 03:42:38 GMT,27:35,3,3 : 15,lost,37,14,3,7,3,50%,38
Inferno,2020-07-31 04:40:06 GMT,55:35,3,15 : 15,won,31,24,6,23,2,37%,69
Inferno,2020-07-31 03:50:22 GMT,45:28,2,16 : 12,won,32,25,4,20,4,24%,58
Mirage,2020-07-31 03:10:06 GMT,30:33,1,5 : 16,lost,32,15,2,17,3,33%,44
Cache,2020-07-27 02:29:00 GMT,35:13,2,7 : 16,lost,62,14,6,17,2,42%,44
Mirage,2020-07-25 03:57:00 GMT,42:16,2,9 : 16,lost,31,14,7,22,1,14%,41
Mirage,2020-07-25 02:32:36 GMT,43:08,1,10 : 16,lost,0,1,3,4,0,50%,5
Inferno,2020-07-23 02:02:09 GMT,49:49,2,16 : 14,won,32,22,7,24,3,20%,56
Inferno,2020-07-23 01:37:21 GMT,12:43,2,8 : 1,won,34,2,2,5,0,0%,6
Mirage,2020-07-23 00:58:17 GMT,31:31,2,16 : 5,won,31,25,8,13,5,24%,60
Mirage,2020-07-22 04:27:05 GMT,49:40,2,14 : 16,lost,31,21,4,21,1,28%,55
Inferno,2020-07-22 03:45:21 GMT,34:51,2,16 : 8,won,33,18,6,18,3,10%,48
Inferno,2020-07-21 01:56:53 GMT,33:14,2,4 : 16,lost,32,11,2,20,0,16%,29
Inferno,2020-07-18 04:43:09 GMT,35:15,2,8 : 16,lost,31,24,1,19,4,16%,58
Mirage,2020-07-18 03:49:49 GMT,30:30,1,16 : 5,won,31,21,4,17,3,52%,49
