Map,Date,Duration,Friends,Score,Result,Player,Ping,Kills,Assists,Deaths,MVP,HSP,Player score
Mirage,21/05 01:02,37:28,2,16 : 8,won,paper,152,18,4,18,1,26%,42
Mirage,21/05 01:02,37:28,2,16 : 8,won,Tablon James,31,15,2,19,2,20%,39
Mirage,21/05 01:02,37:28,2,16 : 8,won,Ban Chiquito,14,9,7,22,0,33%,25
Mirage,21/05 01:02,37:28,2,16 : 8,won,⪻Ryder⪼ (ReX),111,9,5,18,1,22%,24
Inferno,21/05 00:11,43:05,2,16 : 10,won,paper,152,30,4,13,4,48%,74
Inferno,21/05 00:11,43:05,2,16 : 10,won,♕ Ⓝ③ⒹⒿ♕,17,24,3,16,5,12%,64
Inferno,21/05 00:11,43:05,2,16 : 10,won,BOT Zini,44,18,6,23,2,22%,48
Inferno,21/05 00:11,43:05,2,16 : 10,won,Tablon James,39,17,8,21,2,5%,42
Inferno,21/05 00:11,43:05,2,16 : 10,won,pimpimenta do csgo,18,12,1,16,3,33%,30
Inferno,19/05 00:31,51:40,1,16 : 11,won,Hyde,63,27,3,19,6,28%,62
Inferno,19/05 00:31,51:40,1,16 : 11,won,23p,28,19,6,18,4,26%,55
Inferno,19/05 00:31,51:40,1,16 : 11,won,Tablon James,31,23,4,20,4,47%,54
Inferno,19/05 00:31,51:40,1,16 : 11,won,Demonio de Tasmania,38,15,6,21,1,13%,45
Inferno,19/05 00:31,51:40,1,16 : 11,won,BOT Zini,34,16,4,19,1,43%,41
Inferno,18/05 23:40,46:06,1,16 : 10,won,Shoxie,34,19,9,21,1,26%,51
Inferno,18/05 23:40,46:06,1,16 : 10,won,GanjaH,77,20,3,20,3,10%,43
Inferno,18/05 23:40,46:06,1,16 : 10,won,BOT Zini,37,15,8,22,3,40%,42
Inferno,18/05 23:40,46:06,1,16 : 10,won,ffeli-.,0,17,3,13,1,21%,39
Inferno,18/05 23:40,46:06,1,16 : 10,won,Tablon James,23,11,0,21,2,36%,24
Inferno,18/05 02:37,34:56,2,16 : 3,won,BL,21,24,1,7,6,54%,61
Inferno,18/05 02:37,34:56,2,16 : 3,won,BOT Zini,41,20,8,13,5,35%,54
Inferno,18/05 02:37,34:56,2,16 : 3,won,ChApoLim,18,13,6,10,3,42%,35
Inferno,18/05 02:37,34:56,2,16 : 3,won,Tablon James,32,14,4,11,2,35%,32
Inferno,18/05 02:37,34:56,2,16 : 3,won,paper,155,9,0,9,0,20%,20
Inferno,18/05 01:56,37:39,2,16 : 9,won,Tablon James,34,29,3,15,6,37%,63
Inferno,18/05 01:56,37:39,2,16 : 9,won,BOT Zini,31,25,4,19,5,32%,60
Inferno,18/05 01:56,37:39,2,16 : 9,won,BL,23,20,7,16,2,30%,55
Inferno,18/05 01:56,37:39,2,16 : 9,won,pause,5,12,7,13,1,16%,41
Inferno,18/05 01:56,37:39,2,16 : 9,won,paper,150,15,4,16,2,17%,37
Inferno,17/05 02:36,46:22,2,12 : 16,lost,Gohan,47,25,4,22,2,57%,60
Inferno,17/05 02:36,46:22,2,12 : 16,lost,Tablon James,37,20,2,23,4,10%,48
Inferno,17/05 02:36,46:22,2,12 : 16,lost,paper,148,19,2,20,2,78%,47
Inferno,17/05 02:36,46:22,2,12 : 16,lost,BOT Zini,33,16,5,24,3,29%,40
Inferno,17/05 02:36,46:22,2,12 : 16,lost,MUNDRUNGUIN,0,6,2,15,1,28%,25
Mirage,17/05 01:54,39:34,2,16 : 6,won,Pepito rechulon,11,29,2,11,4,41%,69
Mirage,17/05 01:54,39:34,2,16 : 6,won,NEKKRO,21,21,6,12,4,38%,51
Mirage,17/05 01:54,39:34,2,16 : 6,won,paper,154,12,4,13,3,46%,39
Mirage,17/05 01:54,39:34,2,16 : 6,won,Tablon James,29,14,6,15,1,14%,36
Mirage,17/05 01:54,39:34,2,16 : 6,won,BOT Zini,31,13,4,17,4,46%,32
Inferno,15/05 01:29,53:10,3,13 : 16,lost,paper,151,27,2,17,4,36%,67
Inferno,15/05 01:29,53:10,3,13 : 16,lost,BOT Zini,32,25,5,24,1,16%,61
Inferno,15/05 01:29,53:10,3,13 : 16,lost,[Z]elth,35,19,8,22,3,36%,57
Inferno,15/05 01:29,53:10,3,13 : 16,lost,Tablon James,35,13,4,23,3,23%,45
Inferno,15/05 01:29,53:10,3,13 : 16,lost,PedroMadeira,30,12,5,24,2,33%,30
Inferno,15/05 00:38,41:26,3,10 : 16,lost,[Z]elth,32,28,2,15,7,35%,73
Inferno,15/05 00:38,41:26,3,10 : 16,lost,BOT Zini,33,24,7,18,4,37%,68
Inferno,15/05 00:38,41:26,3,10 : 16,lost,paper,153,23,1,15,3,45%,54
Inferno,15/05 00:38,41:26,3,10 : 16,lost,Tablon James,34,10,4,20,2,40%,37
Inferno,15/05 00:38,41:26,3,10 : 16,lost,Só de zuerinha,7,9,7,20,0,30%,33
Inferno,14/05 00:44,43:35,2,10 : 16,lost,Tablon James,34,23,5,20,2,34%,55
Inferno,14/05 00:44,43:35,2,10 : 16,lost,Psycho,31,20,3,20,2,50%,51
Inferno,14/05 00:44,43:35,2,10 : 16,lost,paper,151,20,1,20,5,38%,44
Inferno,14/05 00:44,43:35,2,10 : 16,lost,BOT Zini,44,17,4,22,1,47%,41
Inferno,14/05 00:44,43:35,2,10 : 16,lost,Pedrostin,0,5,5,9,0,20%,19
Inferno,14/05 00:05,33:46,2,16 : 6,won,Tablon James,31,20,2,17,2,20%,42
Inferno,14/05 00:05,33:46,2,16 : 6,won,paper,151,19,2,19,3,45%,41
Inferno,14/05 00:05,33:46,2,16 : 6,won,lukas,42,11,2,18,1,27%,27
Inferno,14/05 00:05,33:46,2,16 : 6,won,BOT Zini,35,4,2,19,0,25%,10
Inferno,14/05 00:05,33:46,2,16 : 6,won,h4il3,20,3,1,19,0,0%,7
Mirage,13/05 23:23,37:06,2,16 : 7,won,[Cs]bal,24,14,7,22,1,57%,35
Mirage,13/05 23:23,37:06,2,16 : 7,won,paper,176,15,2,20,1,40%,34
Mirage,13/05 23:23,37:06,2,16 : 7,won,Tablon James,31,12,2,21,0,16%,27
Mirage,13/05 23:23,37:06,2,16 : 7,won,maus,31,9,4,18,3,33%,26
Mirage,13/05 23:23,37:06,2,16 : 7,won,BOT Zini,43,9,2,20,2,22%,25
Inferno,12/05 00:35,51:38,2,13 : 16,lost,paper,152,26,3,18,4,37%,69
Inferno,12/05 00:35,51:38,2,13 : 16,lost,h10zera,37,25,4,26,5,44%,59
Inferno,12/05 00:35,51:38,2,13 : 16,lost,BOT Zini,43,20,8,24,2,40%,55
Inferno,12/05 00:35,51:38,2,13 : 16,lost,Cariocasz ♥♥♥♥♥♥♥♥♥♥♥♥,15,16,4,19,2,43%,50
Inferno,12/05 00:35,51:38,2,13 : 16,lost,Tablon James,34,17,1,19,3,16%,46
Inferno,11/05 23:47,43:03,2,16 : 10,won,BOT Zini,45,24,2,18,4,33%,66
Inferno,11/05 23:47,43:03,2,16 : 10,won,paper,151,18,4,19,1,66%,42
Inferno,11/05 23:47,43:03,2,16 : 10,won,Roman,44,18,3,20,3,72%,41
Inferno,11/05 23:47,43:03,2,16 : 10,won,Tablon James,37,15,4,19,1,20%,39
Inferno,11/05 23:47,43:03,2,16 : 10,won,Princesa Jujuba,0,3,4,15,1,50%,10
Mirage,11/05 22:49,51:02,1,15 : 15,won,Roman,60,27,4,20,5,40%,74
Mirage,11/05 22:49,51:02,1,15 : 15,won,Tuco de tomate,52,24,8,22,4,41%,65
Mirage,11/05 22:49,51:02,1,15 : 15,won,paper,130,19,3,23,2,33%,53
Mirage,11/05 22:49,51:02,1,15 : 15,won,Theriderzero,5,17,6,21,1,23%,48
Mirage,11/05 22:49,51:02,1,15 : 15,won,Tablon James,60,16,13,26,3,50%,45
Inferno,10/05 02:02,40:36,2,10 : 16,lost,BOT Zini,32,21,6,22,4,23%,54
Inferno,10/05 02:02,40:36,2,10 : 16,lost,[Z]elth,31,21,2,21,2,50%,48
Inferno,10/05 02:02,40:36,2,10 : 16,lost,DavidGL,53,19,6,22,1,31%,48
Inferno,10/05 02:02,40:36,2,10 : 16,lost,CeRm,45,15,4,20,2,40%,39
Inferno,10/05 02:02,40:36,2,10 : 16,lost,Tablon James,36,15,2,19,1,46%,36
Mirage,10/05 01:04,46:28,2,13 : 16,lost,BOT Zini,41,29,7,22,2,17%,68
Mirage,10/05 01:04,46:28,2,13 : 16,lost,danny,39,26,5,19,3,38%,61
Mirage,10/05 01:04,46:28,2,13 : 16,lost,Tablon James,38,20,5,22,3,15%,48
Mirage,10/05 01:04,46:28,2,13 : 16,lost,LeonelxD,27,18,7,21,3,10%,47
Mirage,10/05 01:04,46:28,2,13 : 16,lost,[Z]elth,33,12,6,18,2,0%,45
Inferno,09/05 02:04,29:39,2,16 : 4,won,Miranha(URSS),47,24,2,5,6,16%,60
Inferno,09/05 02:04,29:39,2,16 : 4,won,BOT Zini,34,19,5,13,3,26%,48
Inferno,09/05 02:04,29:39,2,16 : 4,won,[Z]elth,46,16,4,11,3,37%,38
Inferno,09/05 02:04,29:39,2,16 : 4,won,slowx,48,15,5,14,3,6%,37
Inferno,09/05 02:04,29:39,2,16 : 4,won,Tablon James,40,8,3,10,1,22%,19
Mirage,09/05 01:24,34:43,2,8 : 16,lost,[Z]elth,39,25,2,12,4,20%,59
Mirage,09/05 01:24,34:43,2,8 : 16,lost,Tablon James,32,19,2,14,4,31%,53
Mirage,09/05 01:24,34:43,2,8 : 16,lost,♱CARNE♰,9,19,7,17,3,10%,49
Mirage,09/05 01:24,34:43,2,8 : 16,lost,G_G,149,15,1,15,3,20%,45
Mirage,09/05 01:24,34:43,2,8 : 16,lost,BOT Zini,46,13,6,17,2,38%,39
Inferno,08/05 01:16,39:58,2,7 : 16,lost,Mockyard,18,21,4,19,2,33%,48
Inferno,08/05 01:16,39:58,2,7 : 16,lost,BOT Zini,40,17,6,20,1,23%,41
Inferno,08/05 01:16,39:58,2,7 : 16,lost,paper,152,16,3,18,3,37%,39
Inferno,08/05 01:16,39:58,2,7 : 16,lost,Kreep,31,16,5,18,1,62%,37
Inferno,08/05 01:16,39:58,2,7 : 16,lost,Tablon James,38,9,2,21,0,55%,26
Mirage,08/05 00:24,47:03,2,16 : 11,won,paper,156,29,1,21,5,31%,64
Mirage,08/05 00:24,47:03,2,16 : 11,won,BOT Zini,36,17,6,24,4,29%,50
Mirage,08/05 00:24,47:03,2,16 : 11,won,EL Snoppy,5,16,8,21,1,18%,46
Mirage,08/05 00:24,47:03,2,16 : 11,won,Gliese581e,69,16,7,19,1,35%,45
Mirage,08/05 00:24,47:03,2,16 : 11,won,Tablon James,28,7,1,22,0,37%,20
Mirage,07/05 00:57,43:19,2,11 : 16,lost,Tiago LaSombra,25,25,3,15,3,20%,63
Mirage,07/05 00:57,43:19,2,11 : 16,lost,Tablon James,43,17,7,17,4,22%,57
Mirage,07/05 00:57,43:19,2,11 : 16,lost,BOT Zini,39,23,6,22,5,39%,52
Mirage,07/05 00:57,43:19,2,11 : 16,lost,paper,152,23,3,18,1,13%,51
Mirage,07/05 00:57,43:19,2,11 : 16,lost,Doctor G.,17,19,9,18,3,26%,51
Inferno,07/05 00:05,44:34,2,11 : 16,lost,Fuama ♥♥♥♥♥♥♥♥♥♥♥♥,60,24,5,13,4,12%,62
Inferno,07/05 00:05,44:34,2,11 : 16,lost,BOT Zini,41,24,3,21,4,20%,57
Inferno,07/05 00:05,44:34,2,11 : 16,lost,🔥𝙁𝙖𝙯𝙞𝙞🔥,42,19,5,18,2,15%,48
Inferno,07/05 00:05,44:34,2,11 : 16,lost,Tablon James,32,13,6,17,3,15%,39
Inferno,07/05 00:05,44:34,2,11 : 16,lost,paper,152,15,1,18,3,41%,38
Mirage,06/05 23:19,36:59,3,6 : 16,lost,BOT Zini,36,34,3,11,5,35%,77
Mirage,06/05 23:19,36:59,3,6 : 16,lost,paper,157,21,4,8,5,50%,54
Mirage,06/05 23:19,36:59,3,6 : 16,lost,[Z]elth,47,22,3,10,4,27%,50
Mirage,06/05 23:19,36:59,3,6 : 16,lost,Tablon James,32,7,7,14,1,71%,31
Mirage,06/05 23:19,36:59,3,6 : 16,lost,yFяɐиςλ®,0,5,1,11,1,0%,13
Mirage,05/05 02:07,43:56,2,11 : 16,lost,ToSpaceBoy,55,31,8,15,5,25%,72
Mirage,05/05 02:07,43:56,2,11 : 16,lost,Tablon James,41,17,3,21,3,29%,48
Mirage,05/05 02:07,43:56,2,11 : 16,lost,"AUTHENTIC ""GmG""",138,15,4,23,2,26%,41
Mirage,05/05 02:07,43:56,2,11 : 16,lost,BOT Zini,44,14,4,22,1,57%,35
Mirage,05/05 02:07,43:56,2,11 : 16,lost,paper,150,11,4,21,0,54%,33
Inferno,05/05 01:48,14:00,2,5 : 1,won,paper,155,7,0,1,2,71%,16
Inferno,05/05 01:48,14:00,2,5 : 1,won,Tablon James,31,6,0,2,1,0%,13
Inferno,05/05 01:48,14:00,2,5 : 1,won,BOT Zini,34,3,3,6,1,100%,9
Inferno,05/05 01:48,14:00,2,5 : 1,won,Dani BOT,46,2,4,3,0,0%,8
Inferno,05/05 01:48,14:00,2,5 : 1,won,TheJDazzOsky,45,2,2,2,1,100%,6
Mirage,05/05 00:50,46:22,2,14 : 16,lost,Tomi,79,33,5,22,2,42%,78
Mirage,05/05 00:50,46:22,2,14 : 16,lost,BOT Zini,34,19,8,19,5,26%,66
Mirage,05/05 00:50,46:22,2,14 : 16,lost,Gran Dandy de Barcelona,73,27,4,20,4,22%,61
Mirage,05/05 00:50,46:22,2,14 : 16,lost,paper,152,22,2,20,3,54%,54
Mirage,05/05 00:50,46:22,2,14 : 16,lost,Tablon James,31,10,6,26,2,45%,28
Mirage,02/05 00:03,28:04,1,4 : 16,lost,ϟＬＵＰＡＣϟ,6,24,2,9,3,29%,54
Mirage,02/05 00:03,28:04,1,4 : 16,lost,BOT Zini,37,11,3,12,5,16%,49
Mirage,02/05 00:03,28:04,1,4 : 16,lost,DCARVALHO94,5,20,5,10,5,30%,47
Mirage,02/05 00:03,28:04,1,4 : 16,lost,Tablon James,45,13,2,9,1,30%,35
Mirage,02/05 00:03,28:04,1,4 : 16,lost,UmaPessoa,64,11,6,14,2,27%,31
Cache,01/05 00:52,48:59,1,16 : 14,won,Captain Bork,24,30,9,24,5,30%,74
Cache,01/05 00:52,48:59,1,16 : 14,won,paper,68,23,6,17,6,39%,71
Cache,01/05 00:52,48:59,1,16 : 14,won,Phillip Oliver Holes,15,25,10,24,3,48%,62
Cache,01/05 00:52,48:59,1,16 : 14,won,megalodon,47,24,7,23,2,16%,59
Cache,01/05 00:52,48:59,1,16 : 14,won,Tablon James,160,11,2,26,0,18%,27
Mirage,28/04 00:10,48:38,2,16 : 14,won,BOT Zini,45,28,7,24,6,28%,70
Mirage,28/04 00:10,48:38,2,16 : 14,won,paper,176,26,2,21,3,53%,66
Mirage,28/04 00:10,48:38,2,16 : 14,won,Pé de Pano,15,26,5,18,1,19%,61
Mirage,28/04 00:10,48:38,2,16 : 14,won,Tablon James,44,15,6,24,0,31%,47
Mirage,28/04 00:10,48:38,2,16 : 14,won,Surrender pls,12,16,9,21,4,31%,45
Inferno,27/04 23:14,46:51,1,9 : 16,lost,paper,124,29,0,20,2,65%,66
Inferno,27/04 23:14,46:51,1,9 : 16,lost,Jhon Nexus,33,15,1,18,3,26%,43
Inferno,27/04 23:14,46:51,1,9 : 16,lost,El NO renuncio,7,13,3,14,0,38%,34
Inferno,27/04 23:14,46:51,1,9 : 16,lost,Tablon James,62,13,0,21,3,21%,33
Inferno,27/04 23:14,46:51,1,9 : 16,lost,⭐️ PAMT⭐,41,12,5,17,1,41%,31
Cache,22/04 00:03,27:59,1,5 : 16,lost,paper,65,14,0,17,1,28%,34
Cache,22/04 00:03,27:59,1,5 : 16,lost,Q-TiP,17,14,2,18,1,42%,33
Cache,22/04 00:03,27:59,1,5 : 16,lost,Lorreta ♥ pie,54,10,3,17,1,20%,26
Cache,22/04 00:03,27:59,1,5 : 16,lost,Tablon James,187,8,3,20,2,37%,21
Cache,22/04 00:03,27:59,1,5 : 16,lost,MannyAM,31,8,4,19,0,37%,20
Inferno,21/04 23:11,47:32,1,16 : 11,won,Tablon James,40,30,11,20,4,23%,77
Inferno,21/04 23:11,47:32,1,16 : 11,won,tigrao,26,20,8,14,4,25%,58
Inferno,21/04 23:11,47:32,1,16 : 11,won,paper,153,24,4,16,1,45%,56
Inferno,21/04 23:11,47:32,1,16 : 11,won,Thunderketzer,25,21,5,14,3,27%,53
Inferno,21/04 23:11,47:32,1,16 : 11,won,Faz eco ♥♥♥♥♥♥♥♥,56,16,2,19,4,25%,34
Cache,21/04 00:01,44:35,2,12 : 16,lost,Tablon James,62,25,5,23,6,36%,72
Cache,21/04 00:01,44:35,2,12 : 16,lost,Rouce,63,28,3,25,1,53%,63
Cache,21/04 00:01,44:35,2,12 : 16,lost,moncho,21,14,5,20,2,42%,45
Cache,21/04 00:01,44:35,2,12 : 16,lost,paper,124,13,4,21,3,35%,37
Cache,21/04 00:01,44:35,2,12 : 16,lost,Kurosawa Ruby,0,0,2,15,0,0%,6
Inferno,17/04 01:46,31:57,3,16 : 8,won,[Z]elth,31,25,5,14,6,32%,57
Inferno,17/04 01:46,31:57,3,16 : 8,won,Tablon James,31,21,9,16,3,19%,54
Inferno,17/04 01:46,31:57,3,16 : 8,won,BOT Zini,40,20,7,15,2,35%,53
Inferno,17/04 01:46,31:57,3,16 : 8,won,paper,175,17,10,17,3,61%,50
Inferno,17/04 01:46,31:57,3,16 : 8,won,Ask1ngRus,62,17,6,13,2,5%,43
Mirage,17/04 00:48,48:20,1,16 : 14,won,PepeSavio,14,21,6,21,2,23%,61
Mirage,17/04 00:48,48:20,1,16 : 14,won,Seu zé,30,26,4,22,2,11%,59
Mirage,17/04 00:48,48:20,1,16 : 14,won,Tablon James,34,20,4,25,4,52%,55
Mirage,17/04 00:48,48:20,1,16 : 14,won,paper,172,17,5,23,4,23%,47
Mirage,17/04 00:48,48:20,1,16 : 14,won,Arthur,5,18,4,27,2,22%,42
Dust II,17/04 00:02,39:04,2,11 : 16,lost,Coxa,19,26,3,17,4,11%,62
Dust II,17/04 00:02,39:04,2,11 : 16,lost,Rouce,39,22,5,19,2,45%,57
Dust II,17/04 00:02,39:04,2,11 : 16,lost,Tablon James,35,19,9,21,1,47%,53
Dust II,17/04 00:02,39:04,2,11 : 16,lost,ArrozNaBarba,7,20,6,18,5,35%,52
Dust II,17/04 00:02,39:04,2,11 : 16,lost,paper,150,14,3,22,4,35%,42
Inferno,16/04 00:49,53:16,1,16 : 13,won,Tablon James,31,28,5,21,6,25%,74
Inferno,16/04 00:49,53:16,1,16 : 13,won,La Cucaracha,38,26,10,20,3,14%,63
Inferno,16/04 00:49,53:16,1,16 : 13,won,The Big Baby Wolf ︻戀 一,33,24,6,21,3,33%,57
Inferno,16/04 00:49,53:16,1,16 : 13,won,BOT Zini,45,18,6,23,2,22%,54
Inferno,16/04 00:49,53:16,1,16 : 13,won,Showalost,17,19,5,21,2,47%,49
Inferno,16/04 00:11,33:07,1,16 : 7,won,Tomi,71,33,5,13,8,39%,76
Inferno,16/04 00:11,33:07,1,16 : 7,won,Barz,16,15,4,13,2,26%,40
Inferno,16/04 00:11,33:07,1,16 : 7,won,Tablon James,35,14,6,13,5,35%,39
Inferno,16/04 00:11,33:07,1,16 : 7,won,BOT Zini,38,16,3,16,0,25%,38
Inferno,16/04 00:11,33:07,1,16 : 7,won,Gran Dandy de Barcelona,73,16,2,19,1,31%,35
Mirage,15/04 01:31,48:29,2,15 : 15,won,otto,11,26,6,24,3,23%,70
Mirage,15/04 01:31,48:29,2,15 : 15,won,fogo,55,20,6,22,4,55%,56
Mirage,15/04 01:31,48:29,2,15 : 15,won,Tablon James,31,17,6,22,2,41%,45
Mirage,15/04 01:31,48:29,2,15 : 15,won,paper,173,15,5,25,3,43%,42
Mirage,15/04 01:31,48:29,2,15 : 15,won,BOT Zini,43,17,2,25,3,41%,36
Mirage,15/04 00:59,27:36,2,16 : 4,won,Dibrinho,33,12,0,19,2,0%,24
Mirage,15/04 00:59,27:36,2,16 : 4,won,Tablon James,42,9,2,16,2,22%,24
Mirage,15/04 00:59,27:36,2,16 : 4,won,BOT Zini,44,9,4,18,0,11%,22
Mirage,15/04 00:59,27:36,2,16 : 4,won,JucaTerrorista,5,8,5,19,0,44%,21
Mirage,15/04 00:59,27:36,2,16 : 4,won,paper,186,7,2,19,0,55%,16
Cache,11/04 00:15,32:50,2,6 : 16,lost,🆃🅴🆁🅼🅸,34,28,7,13,8,25%,67
Cache,11/04 00:15,32:50,2,6 : 16,lost,Rouce,41,21,2,11,2,40%,54
Cache,11/04 00:15,32:50,2,6 : 16,lost,paper,152,17,3,7,4,29%,46
Cache,11/04 00:15,32:50,2,6 : 16,lost,Tablon James,34,15,1,13,2,40%,37
Cache,11/04 00:15,32:50,2,6 : 16,lost,°0rίζΜΔRκϋζ™,19,10,2,13,0,50%,30
Cache,10/04 23:52,17:06,2,2 : 10,lost,paper,154,11,0,9,1,50%,29
Cache,10/04 23:52,17:06,2,2 : 10,lost,Rouce,37,11,3,10,0,63%,25
Cache,10/04 23:52,17:06,2,2 : 10,lost,Tablon James,37,4,1,10,1,25%,9
Cache,10/04 23:52,17:06,2,2 : 10,lost,D_Felipeg13 ツ,0,3,0,9,0,50%,8
Cache,10/04 23:52,17:06,2,2 : 10,lost,citroen ♥♥♥♥♥♥♥♥♥♥♥♥,0,-1,0,2,0,0%,0
Mirage,10/04 22:38,51:35,2,16 : 13,won,paper,153,34,7,19,6,52%,93
Mirage,10/04 22:38,51:35,2,16 : 13,won,gustyloppez,35,24,3,18,4,29%,58
Mirage,10/04 22:38,51:35,2,16 : 13,won,Rouce,39,24,4,25,2,50%,53
Mirage,10/04 22:38,51:35,2,16 : 13,won,citroen ♥♥♥♥♥♥♥♥♥♥♥♥,165,17,7,19,2,55%,47
Mirage,10/04 22:38,51:35,2,16 : 13,won,Tablon James,36,10,3,19,2,36%,25
Mirage,08/04 01:04,41:04,2,16 : 13,won,paper,151,29,3,19,5,27%,78
Mirage,08/04 01:04,41:04,2,16 : 13,won,Your bot,5,28,3,20,5,21%,67
Mirage,08/04 01:04,41:04,2,16 : 13,won,Johan,42,20,6,23,2,20%,56
Mirage,08/04 01:04,41:04,2,16 : 13,won,BOT Zini,32,22,3,22,3,36%,53
Mirage,08/04 01:04,41:04,2,16 : 13,won,Tablon James,31,9,11,21,1,36%,34
Inferno,08/04 00:09,48:47,2,12 : 16,lost,Jefin.Astrix,5,29,5,19,4,24%,67
Inferno,08/04 00:09,48:47,2,12 : 16,lost,paper,191,20,5,20,1,40%,48
Inferno,08/04 00:09,48:47,2,12 : 16,lost,Tablon James,45,16,2,22,2,25%,48
Inferno,08/04 00:09,48:47,2,12 : 16,lost,BOT Zini,56,18,6,22,4,50%,45
Inferno,08/04 00:09,48:47,2,12 : 16,lost,-pato- -M-,32,9,3,16,1,30%,31
Cache,06/04 23:48,43:34,2,16 : 12,won,Rouce,39,31,3,18,6,51%,80
Cache,06/04 23:48,43:34,2,16 : 12,won,paper,155,21,1,21,2,36%,49
Cache,06/04 23:48,43:34,2,16 : 12,won,JoaoP.,31,18,7,22,2,22%,48
Cache,06/04 23:48,43:34,2,16 : 12,won,Tablon James,41,17,9,24,2,11%,46
Cache,06/04 23:48,43:34,2,16 : 12,won,TRAPO,46,8,4,25,0,50%,22
Dust II,06/04 23:00,40:44,2,16 : 10,won,paper,165,21,5,17,3,47%,63
Dust II,06/04 23:00,40:44,2,16 : 10,won,Rouce,34,27,2,20,5,48%,57
Dust II,06/04 23:00,40:44,2,16 : 10,won,GuiGui,0,17,1,13,1,38%,37
Dust II,06/04 23:00,40:44,2,16 : 10,won,Tablon James,40,5,6,24,1,60%,19
Dust II,06/04 23:00,40:44,2,16 : 10,won,𝕵𝖊𝖗𝖗𝖆𝖗𝖎,0,1,0,8,0,50%,2
