"Map","Date","Duration","Friends","Score","Result","Player","Ping","Kills","Assists","Deaths","MVP","HSP","Score"
"Mirage","2020-09-06 02:54:35 GMT","31:09","2","4 : 16","lost","L4nchi77","29","11","2","17","2","27%","33"
"Mirage","2020-09-06 02:54:35 GMT","31:09","2","4 : 16","lost","BOT Zini","28","13","3","19","1","38%","29"
"Mirage","2020-09-06 02:54:35 GMT","31:09","2","4 : 16","lost","Tablon James","33","8","4","18","0"," ","28"
"Mirage","2020-09-06 02:54:35 GMT","31:09","2","4 : 16","lost","sabino","113","10","1","15","1","20%","27"
"Mirage","2020-09-06 02:54:35 GMT","31:09","2","4 : 16","lost","[Z]elth","29","10","1","17","0","30%","22"
"Inferno","2020-09-06 02:07:31 GMT","41:49","2","16 : 11","won","BOT Zini","42","28","7","23","3","25%","72"
"Inferno","2020-09-06 02:07:31 GMT","41:49","2","16 : 11","won","Tablon James","44","23","3","21","2","13%","49"
"Inferno","2020-09-06 02:07:31 GMT","41:49","2","16 : 11","won","[Z]elth","45","18","3","24","1","33%","42"
"Inferno","2020-09-06 02:07:31 GMT","41:49","2","16 : 11","won","FCND","41","14","6","20","3","28%","38"
"Inferno","2020-09-06 02:07:31 GMT","41:49","2","16 : 11","won","Lorem ipsum","22","8","7","21","2","25%","23"
"Inferno","2020-09-05 03:37:23 GMT","37:14","2","6 : 16","lost","MaxKent","33","19","1","20","2","26%","41"
"Inferno","2020-09-05 03:37:23 GMT","37:14","2","6 : 16","lost","Tablon James","31","14","9","20","1","42%","41"
"Inferno","2020-09-05 03:37:23 GMT","37:14","2","6 : 16","lost","BOT Zini","26","17","4","20","1","41%","40"
"Inferno","2020-09-05 03:37:23 GMT","37:14","2","6 : 16","lost","vidz","0","15","2","16","2","23%","35"
"Inferno","2020-09-05 03:37:23 GMT","37:14","2","6 : 16","lost","wind","26","5","1","19","0","20%","14"
